date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:05	53069/53069	---M-Z	200	added ('OK')	text/html	etag:%22cf4d-68c2698a-e23df31c2b8252c2;gz%22	https://html.themewant.com/moonlit/room-one.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-one.html	(from )
16:35:05	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/robots.txt		(from )
16:35:07	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-68c2698a-fb98553fed71e4ad;gz%22	https://html.themewant.com/moonlit/assets/images/favicon.ico	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/favicon.ico	(from https://html.themewant.com/moonlit/room-one.html)
16:35:09	3296/3296	---M-Z	200	added ('OK')	text/css	etag:%22ce0-68c2698a-4a891e30a12dfb24;gz%22	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css	(from https://html.themewant.com/moonlit/room-one.html)
16:35:10	298389/298389	---M-Z	200	added ('OK')	text/css	etag:%2248d95-68c2698a-2b63850cffed686a;gz%22	https://html.themewant.com/moonlit/assets/css/plugins.min.css	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/plugins.min.css	(from https://html.themewant.com/moonlit/room-one.html)
16:35:12	73522/73522	---M-Z	200	added ('OK')	text/html	etag:%2211f32-68c2698a-2aa60e62c1dc9e2;gz%22	https://html.themewant.com/moonlit/index.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:12	295956/295956	---M-Z	200	added ('OK')	text/css	etag:%2248414-68c2698a-9c0352771a6799dd;gz%22	https://html.themewant.com/moonlit/assets/css/style.css	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/style.css	(from https://html.themewant.com/moonlit/room-one.html)
16:35:14	75681/75681	---M-Z	200	added ('OK')	text/html	etag:%22127a1-68c2698a-17d5e35d1578d479;gz%22	https://html.themewant.com/moonlit/index-2.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-2.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:15	59922/59922	---M-Z	200	added ('OK')	text/html	etag:%22ea12-68c2698a-6d327f7946df9175;gz%22	https://html.themewant.com/moonlit/index-3.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-3.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:15	357390/357390	---M--	200	added ('OK')	image/webp	etag:%225740e-68c2698a-cb94eed9ae9bad5d;;;%22	https://html.themewant.com/moonlit/assets/images/menu/main.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/main.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:16	454028/454028	---M--	200	added ('OK')	image/webp	etag:%226ed8c-68c2698a-313adcc9afbad004;;;%22	https://html.themewant.com/moonlit/assets/images/menu/01.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/01.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:17	73897/73897	---M-Z	200	added ('OK')	text/html	etag:%22120a9-68c2698a-906465b97aa6bf98;gz%22	https://html.themewant.com/moonlit/index-4.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-4.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:17	41924/41924	---M--	200	added ('OK')	image/webp	etag:%22a3c4-68c2698a-83382fae67a940c;;;%22	https://html.themewant.com/moonlit/assets/images/menu/03.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/03.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:17	44464/44464	---M--	200	added ('OK')	image/webp	etag:%22adb0-68c2698a-36229aea1b741708;;;%22	https://html.themewant.com/moonlit/assets/images/menu/04.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/04.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:18	70901/70901	---M-Z	200	added ('OK')	text/html	etag:%22114f5-68c2698a-8e440555e5d4922e;gz%22	https://html.themewant.com/moonlit/index-5.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-5.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:18	268884/268884	---M--	200	added ('OK')	image/webp	etag:%2241a54-68c2698a-8b96ce57de982275;;;%22	https://html.themewant.com/moonlit/assets/images/menu/4.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/4.webp	(from https://html.themewant.com/moonlit/room-one.html)
